Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie
2014-01-31;1205.1;1275;1204.8;1244.75
2014-02-28;1243.9;1345.24;1240.82;1323.58
2014-03-31;1341.9;1388.34;1282.46;1283.9
2014-04-30;1284.48;1331.01;1268.55;1291.26
2014-05-31;1292.33;1315.57;1242.25;1250.55
2014-06-30;1248.06;1329.2;1240.7;1327.06
2014-07-31;1325.98;1344.83;1280.94;1282.59
2014-08-31;1282.75;1322.44;1272.9;1287.12
2014-09-30;1286.41;1289.9;1204.53;1208.09
2014-10-31;1207.42;1255.02;1161.18;1171.85
2014-11-30;1166.33;1207.71;1131.78;1168.85
2014-12-31;1150.35;1237.98;1146.55;1183
2015-01-31;1187.09;1306.43;1167.69;1283.8
2015-02-28;1280.54;1285.06;1190.43;1211.57
2015-03-31;1215.52;1223;1142.73;1183.38
2015-04-30;1183.07;1224.45;1175.51;1184.5
2015-05-31;1184.19;1232.54;1170.18;1190.22
2015-06-30;1192.49;1205.79;1163.05;1172.36
2015-07-31;1173.25;1175.31;1077.64;1095.23
2015-08-31;1095.22;1170.18;1081.32;1134.6
2015-09-30;1135.33;1156.9;1099.05;1115.34
2015-10-31;1115.54;1191.63;1104.97;1142.22
2015-11-30;1140.95;1143.2;1052.87;1064.66
2015-12-31;1064.92;1089.09;1046.64;1061.46
2016-01-31;1064.65;1128.11;1062.61;1117.69
2016-02-29;1117.94;1263.13;1117.23;1238.86
2016-03-31;1240.49;1283.04;1208.64;1232.95
2016-04-30;1232.78;1296.74;1209.41;1293.03
2016-05-31;1291.31;1303.89;1200.21;1215.74
2016-06-30;1215.92;1358.61;1206.28;1321.94
2016-07-31;1322.32;1375.42;1311.12;1352.15
2016-08-31;1348.65;1367.57;1304.64;1308.88
2016-09-30;1308.6;1352.4;1302.46;1317.57
2016-10-31;1318.24;1319.45;1241.28;1276.66
2016-11-30;1276.42;1335.39;1170.88;1173.32
2016-12-31;1173.53;1188.11;1123.04;1150.91
2017-01-31;1150.53;1220.04;1146.18;1210.61
2017-02-28;1211.06;1263.94;1198.29;1248.89
