Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2017-01-31;26.84;28.3798;26.5921;28.1287;2277248952.3079
2017-02-28;29.4414;32.0007;29.4354;31.8898;2338081613.9584
2017-03-31;32.0992;33.6381;31.9058;33.4404;2311425343.852
2017-04-30;33.4524;33.8602;32.6029;33.4384;1561903088.173
2017-05-31;33.7763;36.618;33.5836;35.7043;2795237017.3583
2017-06-30;35.8041;36.4608;33.238;33.6656;2920498568.2649
2017-07-31;33.8622;35.9926;33.2885;34.762;1795758166.0638
2017-08-31;34.851;38.6031;34.6898;38.4827;2801952181.4211
2017-09-30;38.6693;38.7037;35.003;36.1644;2889470485.346
2017-10-31;36.1981;39.808;35.7773;39.6718;2146171755.6796
2017-11-30;39.8625;41.3586;38.7858;40.4698;2548258119.6852
2017-12-31;40.0225;41.727;39.1968;39.8545;2246255287.7784
2018-01-31;40.0746;42.4163;38.7878;39.4329;2791161982.9154
2018-02-28;39.3714;42.7108;35.5275;42.1251;3914145805.9487
2018-03-31;42.2219;43.3953;39.008;39.6786;3018256876.6315
2018-04-30;39.7032;42.3147;37.9828;39.0812;2817782943.6462
2018-05-31;39.3518;45.1168;39.0842;44.3582;2621337215.6825
2018-06-30;44.6229;46.1014;42.8995;43.9424;2222681200.9511
2018-07-31;43.6343;46.5193;43.5414;45.1702;1659114826.1566
2018-08-31;47.2718;54.5214;46.8343;54.224;2943706958.945
2018-09-30;54.4146;54.7119;51.2868;53.7757;2850255426.4655
2018-10-31;54.303;55.6167;49.0942;52.1372;3315281927.9545
2018-11-30;52.1805;52.9668;40.6998;42.688;4025603287.3825
2018-12-31;44.0936;44.2091;35.0425;37.7083;3760441252.9745
2019-01-31;37.0286;40.3987;33.9442;39.7883;3464188920.5156
2019-02-28;39.9126;42.2249;39.6669;41.57;1971201453.3982
2019-03-31;41.8377;47.4575;40.6921;45.5997;2711622036.6232
2019-04-30;46.0076;50.0472;45.2274;48.1745;2108201908.6487
2019-05-31;50.386;51.6906;42.1745;42.1923;3072341364.1953
2019-06-30;42.3217;48.5787;41.0338;47.6965;2137878509.3716
2019-07-31;48.9607;53.351;47.816;51.341;1966665037.9843
2019-08-31;51.5484;52.5441;46.4106;50.4995;2829308321.1376
2019-09-30;49.9377;54.7752;49.4062;54.1797;2262850764.1671
2019-10-31;54.4502;60.4157;52.0443;60.1776;2573887504.9823
2019-11-30;60.3654;65.0281;60.2745;64.8452;1851047887.5369
2019-12-31;64.8502;71.3265;62.1828;71.2476;2468175310.7274
2020-01-31;71.8775;79.5479;71.0342;75.1023;3029265878.0451
2020-02-29;73.8362;79.5854;62.3525;66.4839;3106495655.2333
2020-03-31;68.6519;73.935;51.7103;61.8448;6456607159.7059
2020-04-30;59.9524;71.6319;57.6157;71.4559;3357264283.4636
2020-05-31;69.6208;79.0737;69.5231;77.5372;2879333904.145
2020-06-30;77.4906;90.8143;77.3584;88.9625;3325115165.8379
2020-07-31;89.0412;103.813;86.9614;103.664;3096358646.764
2020-08-31;105.533;128.002;105.235;126.106;4166607363.5247
2020-09-30;129.74;134.838;100.761;113.166;3977296834.7882
2020-10-31;114.956;122.53;105.255;106.383;2962734875.0727
2020-11-30;106.629;119.419;104.872;116.546;2169945405.1767
2020-12-31;118.461;135.865;117.493;129.899;2372763491.2997
2021-01-31;130.709;142.026;123.726;129.178;2289106446.9066
2021-02-28;130.935;135.173;116.071;118.877;1871254269.5153
2021-03-31;121.326;126.196;113.926;119.754;2703857789.034
2021-04-30;121.236;134.392;120.08;128.882;1927752742.2678
2021-05-31;129.453;131.44;120.05;122.372;1743858345.1193
2021-06-30;122.836;134.945;120.921;134.51;1635940432.6726
2021-07-31;134.156;147.31;133.326;143.243;1954187994.1507
2021-08-31;143.736;150.965;142.124;149.335;1488156755.9453
2021-09-30;150.324;154.669;138.934;139.163;1828055858.6653
2021-10-31;139.556;150.649;135.992;147.33;1591286975.6505
2021-11-30;146.531;163.212;145.257;162.817;1717223394.8937
2021-12-31;164.96;179.391;155.43;174.898;2482957274.9466
2022-01-31;175.152;180.189;152.369;172.15;2141478736.2899
2022-02-28;171.399;174.214;149.907;162.847;1652375939.5879
2022-03-31;162.422;177.137;148.032;172.2;2211353401.6604
2022-04-30;171.627;176.032;153.237;155.48;1711455902.9227
2022-05-31;154.55;164.189;130.974;147.005;2431686256.3305
2022-06-30;148.052;149.869;127.449;135.034;1771136624.7973
2022-07-31;134.362;161.612;133.988;160.507;1465433924.36
2022-08-31;159.026;174.219;155.418;155.498;1527432219.3139
2022-09-30;154.925;162.459;136.488;136.685;2107874090.7481
2022-10-31;136.695;155.774;132.897;151.659;1889082633.3533
2022-11-30;153.38;153.746;133.128;146.65;1741627238.0795
2022-12-31;146.83;149.514;124.697;128.719;1691492132.5365
2023-01-31;129.066;145.858;123.014;142.946;1457230774.7808
2023-02-28;142.628;155.914;140.004;146.259;1318538062.1022
2023-03-31;145.683;163.713;142.776;163.614;1532422045.0128
2023-04-30;162.987;168.523;158.533;168.355;977405127.24302
2023-05-31;167.959;178.196;163.027;176.11;1284408604.8962
2023-06-30;176.557;193.229;175.793;192.721;1306266228.6896
2023-07-31;192.534;196.956;185.399;195.186;1002819455.021
2023-08-31;194.972;195.466;171.085;186.914;1331330230.8419
2023-09-30;188.521;189.012;166.767;170.339;1344719803.3602
2023-10-31;170.349;181.412;164.826;169.9;1178847336.8421
2023-11-30;170.129;192.201;169.253;189.232;1104531080.1613
2023-12-31;189.611;198.866;186.742;191.803;1067215507.1618
2024-01-31;186.442;195.638;179.488;183.703;1191996732.8028
