Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie;Wolumen
2014-01-31;17.3327;17.4729;15.3948;15.6142;10077577642.68
2014-02-28;15.6783;17.296;15.5736;16.5139;6711297590.9884
2014-03-31;16.4121;17.227;16.4072;16.8407;5697959196.2094
2014-04-30;16.8733;18.8082;16.0447;18.5159;7318103259.7343
2014-05-31;18.576;20.3273;18.3113;19.9747;6497610559.385
2014-06-30;20.0041;20.9958;19.6428;20.5256;5462410924.7145
2014-07-31;20.6562;21.9649;20.4476;21.1173;4683271447.4762
2014-08-31;20.9612;22.8429;20.7044;22.7529;4201503826.7772
2014-09-30;22.8773;23.0273;21.3386;22.3667;6872822130.8344
2014-10-31;22.3302;23.9824;21.1292;23.9727;6124624913.288
2014-11-30;24.0262;26.6898;23.9124;26.519;3680702151.0312
2014-12-31;26.4862;26.5861;23.6901;24.6117;4813730479.9481
2015-01-31;24.831;26.748;23.3247;26.1229;6148660772.9177
2015-02-28;26.3194;29.9007;25.8791;28.7492;5076977435.842
2015-03-31;28.9288;29.1628;27.2202;27.8484;5087417573.9946
2015-04-30;27.9344;30.1161;27.5491;28.0095;4449884253.7426
2015-05-31;28.2227;29.8829;27.6143;29.2746;4247192399.093
2015-06-30;29.4909;29.5342;27.9767;28.188;3908598095.9579
2015-07-31;28.5199;29.8829;26.7935;27.2598;4708487646.0524
2015-08-31;27.3062;27.5472;20.7696;25.456;7124285536.8917
2015-09-30;24.8705;26.3906;24.2354;24.9051;5343606279.4642
2015-10-31;24.6276;27.3674;24.2236;26.9812;4932665461.2829
2015-11-30;27.0652;27.9509;25.1669;26.8252;3312715416.0641
2015-12-31;26.9279;27.1767;23.7652;23.8701;4046636663.4556
2016-01-31;23.2654;24.0014;20.9486;22.0684;5374353743.262
2016-02-29;21.8729;22.5446;21.1085;22.0409;3360471860.8916
2016-03-31;22.26;25.1727;22.2077;24.8458;3176275743.4379
2016-04-30;24.7964;25.622;21.0907;21.3683;3572331209.5961
2016-05-31;21.4195;23.1044;20.5206;22.903;3740079229.8929
2016-06-30;22.7096;23.3674;20.986;21.9272;3130511504.1244
2016-07-31;21.9015;23.9805;21.6448;23.9025;2752736319.527
2016-08-31;23.9481;25.4187;23.8563;24.4694;2520037266.786
2016-09-30;24.4794;26.7905;23.6428;26.0666;3979845230.2979
2016-10-31;25.9905;27.3704;25.8928;26.1802;2815216505.6672
2016-11-30;26.1604;26.2375;24.1198;25.6161;3003827831.0083
2016-12-31;25.5798;27.3545;25.0928;26.8448;2480822769.8343
