Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie
2012-12-31;1716.72;1722.95;1635.29;1676.4
2013-01-31;1670.6;1696.09;1625.44;1663.38
2013-02-28;1662.05;1684.55;1554.73;1579.16
2013-03-31;1579.12;1616.23;1561.14;1596.65
2013-04-30;1595.77;1603.47;1321.42;1476.23
2013-05-31;1475.64;1487.53;1338.06;1385.08
2013-06-30;1392.04;1423.15;1180.16;1232.63
2013-07-31;1243.09;1346.64;1208.27;1324.83
2013-08-31;1325.93;1433.6;1272.95;1393.98
2013-09-30;1381.53;1416.06;1291.83;1328.82
2013-10-31;1328.81;1361.65;1251.81;1323.25
2013-11-30;1325.06;1327.6;1226.67;1253.78
2013-12-31;1247.97;1267.64;1182.1;1204.12
2014-01-31;1205.1;1275;1204.8;1244.75
