Data;Otwarcie;Najwyzszy;Najnizszy;Zamkniecie
2004-01-31;418.05;433.15;397.8;401.3
2004-02-29;402.1;419.55;388.85;395.05
2004-03-31;395.65;425.9;386.05;423.7
2004-04-30;424.3;434.2;379.9;388.5
2004-05-31;389.1;399.1;368.4;393.6
2004-06-30;394.2;408.6;380.85;395.8
2004-07-31;396.6;407.75;383.05;387.3
2004-08-31;387.8;410.4;385.4;407.25
2004-09-30;407.75;416.05;391.85;415.65
2004-10-31;415.95;430.3;410.3;428.1
2004-11-30;429;454.9;416.9;450.9
2004-12-31;451;456.5;431.4;437.9
2005-01-31;437.9;438;416.5;421.9
2005-02-28;422.1;437.6;410.3;435.9
2005-03-31;435;447;423.1;427.9
2005-04-30;428;437.3;421.6;434.5
2005-05-31;434.5;434.6;413.5;416.4
2005-06-30;416.6;443.3;414.3;434.7
2005-07-31;434.4;436;417.7;429.7
2005-08-31;429.4;449.49;428.7;433.8
2005-09-30;434.9;475.2;434.5;468.5
2005-10-31;468.7;480.04;459.6;465.13
2005-11-30;465.4;502.31;454.8;494.2
2005-12-31;491.5;540.9;489.6;516.5
2006-01-31;516.4;572.32;516.4;570.1
2006-02-28;569.1;575.03;534.4;561.3
2006-03-31;563;588.7;533.7;580.9
2006-04-30;582.73;655.5;581.3;649.95
2006-05-31;653.55;730;635.6;644
2006-06-30;642.3;645.15;542.4;614.1
2006-07-31;617.9;676;601.9;634.4
2006-08-31;635.7;656.08;607;625.1
2006-09-30;625.95;640.1;570.75;598.6
2006-10-31;598.5;610.5;559.4;605.4
2006-11-30;606.3;648.4;605.1;646.25
2006-12-31;646.6;649.35;611.5;635.7
2007-01-31;636.2;654.7;601.9;652.1
2007-02-28;651.9;688.5;643.1;669.3
2007-03-31;673.4;677.15;632.6;663.4
2007-04-30;664.35;693.8;656.5;680.6
2007-05-31;678;690.1;651.6;660.5
2007-06-30;661.3;673.75;639.8;649.7
2007-07-31;650.85;687.05;644.9;665.95
2007-08-31;663.58;676.55;642;672.5
2007-09-30;672.4;745.5;671.3;744.8
2007-10-31;743.4;797.1;720.8;795.3
2007-11-30;797.55;845.45;772.74;784.46
2007-12-31;785.76;843.5;777;833.15
2008-01-31;833.7;933.04;833.7;925.7
2008-02-29;924.3;976;884.6;970.4
2008-03-31;976.3;1032.3;904.8;913.2
2008-04-30;915.7;952.8;862.2;866.18
2008-05-31;875.6;935.15;845.51;886.96
2008-06-30;886.85;934.93;857.55;927.4
2008-07-31;924.1;987.9;894.45;913.2
2008-08-31;913.87;916.83;772.55;830.25
2008-09-30;833.7;918.3;735.9;872.02
2008-10-31;870;931.6;681.45;724.93
2008-11-30;729.3;830.05;700.4;817.9
2008-12-31;816.26;889.68;741.8;879.05
2009-01-31;886.7;929.34;802.84;928.08
2009-02-28;926.8;1006.1;889.38;938.96
2009-03-31;948.99;966.9;883.74;922.58
2009-04-30;917.12;931.84;864.78;890.85
2009-05-31;885.5;980.17;879.9;975.92
2009-06-30;976.29;989.7;913.3;926.68
2009-07-31;927.7;958.59;904.95;953.9
2009-08-31;952.86;971.4;930.22;951.92
2009-09-30;951.65;1024;946.42;1007.9
2009-10-31;1009.7;1070.6;986.77;1041
2009-11-30;1042.4;1195.1;1042.4;1178.5
2009-12-31;1179.6;1226.2;1074.5;1096.6
2010-01-31;1095.2;1160.95;1073.28;1080.05
2010-02-28;1080.38;1130.18;1043.72;1116.85
2010-03-31;1118.6;1144.08;1084.28;1112.68
2010-04-30;1112.88;1180.78;1110.72;1178.05
2010-05-31;1179.15;1248.7;1156.97;1216.4
2010-06-30;1215.4;1264.2;1196;1241.15
2010-07-31;1241.65;1242.75;1156.6;1180.3
2010-08-31;1181.15;1248.95;1173.55;1246.7
2010-09-30;1247.25;1315.55;1236.1;1308.45
2010-10-31;1306.35;1386.95;1306.1;1359.05
2010-11-30;1363.6;1424.1;1325.35;1386.8
2010-12-31;1386.3;1430.6;1361.85;1420.55
2011-01-31;1419;1423.5;1308.26;1333
2011-02-28;1332.26;1418.2;1325.3;1410.93
2011-03-31;1411.51;1447.86;1381.26;1432
2011-04-30;1433.04;1569.41;1412.75;1563.45
2011-05-31;1566.32;1576.9;1462.65;1535.57
2011-06-30;1535.47;1558.23;1491.37;1500.6
2011-07-31;1501.6;1632.65;1478.35;1624.85
2011-08-31;1610.15;1912.14;1609;1825.34
2011-09-30;1824.52;1921.07;1533.19;1623.83
2011-10-31;1620.28;1752.59;1595.76;1709.82
2011-11-30;1710.7;1803.1;1666.8;1749.34
2011-12-31;1748.75;1762.55;1522.86;1564.81
2012-01-31;1569.36;1747.5;1567.14;1737.23
2012-02-29;1737.12;1790.71;1688.75;1695.47
2012-03-31;1695;1726;1628.22;1668.28
2012-04-30;1670.22;1683.7;1612.53;1663.7
2012-05-31;1665.2;1670.8;1526.63;1558.7
2012-06-30;1559.85;1639.2;1544.81;1596.95
2012-07-31;1597.51;1628.82;1554.26;1614.08
2012-08-31;1613.63;1692.58;1584.69;1691.61
2012-09-30;1687.75;1787.2;1685.17;1771.25
2012-10-31;1765.4;1795.54;1698.26;1719.71
2012-11-30;1719.1;1753.92;1672.29;1714.4
